passenger,start,end,time
0,9,12,30
1,0,10,643
2,5,10,553
3,7,12,87
4,1,8,343
5,4,13,321
6,9,11,210
7,11,13,143
8,6,8,565
9,12,13,1042
10,1,13,1028
11,6,11,863
12,6,11,467
13,9,10,594
14,1,11,308
15,2,11,561
16,10,12,1076
17,13,14,351
18,9,11,93
19,9,12,595
20,6,11,690
21,6,7,37
22,5,12,405
23,4,6,771
24,9,10,66
25,8,11,388
26,6,14,452
27,1,4,1016
28,8,9,840
29,8,12,376
30,10,14,40
31,8,12,58
32,0,2,209
33,5,7,958
34,5,9,220
35,13,14,570
36,7,8,418
37,3,8,73
38,8,14,1119
39,7,14,309
40,2,5,415
41,4,12,683
42,8,14,1111
43,5,9,1147
44,4,10,970
45,12,13,671
46,11,13,76
47,6,9,818
48,6,9,339
49,9,10,195
50,9,12,1099
51,10,14,220
52,9,10,1047
53,4,14,40
54,5,6,1097
55,3,4,78
56,5,6,188
57,3,14,939
58,9,12,1194
59,7,11,583
60,7,10,606
61,10,13,813
62,10,11,1098
63,7,8,765
64,3,7,240
65,4,9,329
66,4,5,1181
67,4,7,287
68,6,13,1021
69,6,12,790
70,8,10,1180
71,6,13,344
72,6,12,452
73,8,12,1136
74,9,14,361
75,2,8,162
76,13,14,911
77,8,14,996
78,4,8,330
79,3,6,774
80,5,11,751
81,7,14,744
82,5,12,680
83,4,10,717
84,6,13,1196
85,6,8,1014
86,3,9,1022
87,5,10,570
88,10,13,1121
89,12,14,549
90,4,7,77
91,4,13,1190
92,5,6,1065
93,4,9,321
94,9,13,632
95,5,10,484
96,7,8,1042
97,6,9,14
98,8,12,1083
99,6,8,460
100,6,14,276
101,1,4,636
102,6,12,897
103,8,10,409
104,8,12,619
105,7,8,96
106,13,14,798
107,6,13,777
108,6,13,1118
109,5,12,663
110,7,13,771
111,0,8,364
112,4,13,461
113,5,6,595
114,9,13,1071
115,10,12,326
116,4,11,286
117,1,11,105
118,6,12,193
119,12,14,1138
120,6,7,802
121,6,12,843
122,9,13,1130
123,5,8,950
124,8,11,9
125,8,12,519
126,6,11,563
127,5,14,308
128,6,9,862
129,4,7,1191
130,9,13,670
131,6,10,172
132,5,8,835
133,8,14,109
134,5,13,323
135,11,13,246
136,5,13,131
137,9,14,1128
138,8,10,639
139,8,9,370
140,8,10,184
141,6,9,480
142,7,9,486
143,7,13,1144
144,8,10,832
145,6,13,996
146,2,13,1016
147,9,11,39
148,13,14,680
149,3,5,597
150,10,14,576
151,2,12,857
152,5,9,251
153,12,13,1081
154,4,11,1103
155,4,6,301
156,7,9,27
157,5,8,527
158,1,7,1027
159,4,7,637
160,11,14,819
161,2,5,1123
162,12,14,705
163,10,12,589
164,10,14,816
165,8,12,463
166,2,7,772
167,7,12,50
168,9,10,488
169,9,13,778
170,9,14,381
171,2,5,1079
172,7,9,325
173,9,10,250
174,12,13,691
175,1,5,567
176,4,5,724
177,4,14,1084
178,5,13,33
179,11,14,124
180,9,13,447
181,4,5,929
182,6,10,290
183,9,12,1125
184,0,4,490
185,5,9,314
186,8,14,873
187,4,7,17
188,8,12,1090
189,5,9,910
190,5,7,323
191,9,11,1102
192,7,13,588
193,5,9,1027
194,9,10,277
195,7,10,716
196,9,12,183
197,8,11,478
198,9,11,909
199,4,9,319
200,6,11,888
201,5,10,344
202,13,14,661
203,3,14,376
204,12,13,1024
205,4,14,1034
206,6,12,902
207,10,14,677
208,4,10,478
209,5,11,465
210,11,13,1021
211,7,9,804
212,9,10,647
213,5,13,183
214,4,8,409
215,4,11,190
216,5,13,335
217,13,14,263
218,8,12,423
219,6,13,274
220,9,10,533
221,5,9,685
222,5,6,302
223,8,13,263
224,4,6,1004
225,13,14,693
226,4,6,352
227,3,6,91
228,6,10,785
229,5,7,940
230,6,9,916
231,4,14,952
232,9,14,158
233,6,12,517
234,4,12,832
235,12,13,591
236,6,7,96
237,4,13,646
238,8,9,53
239,9,11,1157
240,11,13,715
241,6,14,328
242,7,13,141
243,5,12,143
244,7,14,699
245,4,9,955
246,5,10,449
247,4,6,31
248,0,3,872
249,6,7,1198
250,9,11,429
251,2,3,951
252,8,10,276
253,7,12,1016
254,2,12,419
255,5,7,1188
256,5,13,386
257,5,9,206
258,9,14,1096
259,5,11,101
260,13,14,211
261,3,6,923
262,8,10,488
263,4,6,619
264,4,12,667
265,6,8,589
266,6,13,1024
267,7,14,597
268,9,13,702
269,6,11,1009
270,4,6,330
271,6,7,453
272,13,14,58
273,9,12,331
274,0,1,737
275,4,5,718
276,2,10,208
277,6,7,863
278,8,12,1117
279,9,12,863
280,9,14,1043
281,6,11,2
282,7,8,314
283,7,14,472
284,1,5,409
285,5,13,645
286,4,13,368
287,7,9,579
288,9,14,59
289,4,6,466
290,6,11,59
291,6,13,1012
292,0,13,654
293,12,14,682
294,4,7,494
295,7,10,328
296,4,7,530
297,12,14,984
298,5,13,932
299,7,9,432
300,3,4,143
301,9,14,196
302,0,8,923
303,9,13,145
304,11,13,232
305,8,12,685
306,12,13,29
