passenger,start,end,time
0,1,14,860
1,1,14,1294
2,1,14,1130
3,1,14,1095
4,1,14,1638
5,1,14,2169
6,1,14,466
7,1,14,1238
8,1,14,330
9,1,14,1482
10,1,14,2135
11,1,14,130
12,1,14,1685
13,1,14,769
14,1,14,2391
15,1,14,1515
16,1,14,2433
17,1,14,1215
18,1,14,955
19,1,14,2324
20,1,14,1184
21,1,14,459
22,1,14,21
23,1,14,2300
24,1,14,747
25,1,14,474
26,1,14,1082
27,1,14,2558
28,1,14,2047
29,1,14,2747
30,1,14,975
31,1,14,1806
32,1,14,189
33,1,14,2734
34,1,14,562
35,1,14,1899
36,1,14,1267
37,1,14,1528
38,1,14,646
39,1,14,2068
40,1,14,2214
41,1,14,1297
42,1,14,2435
43,1,14,600
44,1,14,2363
45,1,14,2061
46,1,14,241
47,1,14,2041
48,1,14,2612
49,1,14,1363
50,1,14,2139
51,1,14,1390
52,1,14,1478
53,1,14,2556
54,1,14,775
55,1,14,34
56,1,14,2253
57,1,14,1955
58,1,14,1585
59,1,14,1021
60,1,14,2613
61,1,14,1129
62,1,14,1500
63,1,14,702
64,1,14,2449
65,1,14,2777
66,1,14,1579
67,1,14,161
68,1,14,201
69,1,14,1981
70,1,14,995
71,1,14,2317
72,1,14,815
73,1,14,455
74,1,14,1275
75,1,14,1016
76,1,14,2343
77,1,14,2767
78,1,14,337
79,1,14,878
80,1,14,1076
81,1,14,791
82,1,14,2264
83,1,14,763
84,1,14,2235
85,1,14,379
86,1,14,492
87,1,14,1180
88,1,14,2062
89,1,14,64
90,1,14,2568
91,1,14,1367
92,1,14,1152
93,1,14,2027
94,1,14,2695
95,1,14,1495
96,1,14,1162
97,1,14,1522
98,1,14,2640
99,1,14,391
100,1,14,1698
101,1,14,418
102,1,14,2336
103,1,14,378
104,1,14,1796
105,1,14,2278
106,1,14,2088
107,1,14,2182
108,1,3,200
109,1,3,1863
110,1,3,779
111,1,3,502
112,1,3,2454
113,1,3,1751
114,1,3,804
115,1,3,2146
116,1,3,2731
117,1,3,1895
118,1,3,2773
119,1,3,1570
120,1,3,960
121,1,3,2660
122,1,3,1485
123,1,3,2690
124,1,3,1028
125,1,3,502
126,1,3,397
127,1,3,870
128,1,3,392
129,1,3,206
130,1,3,1038
131,1,3,1881
132,1,3,1484
133,1,3,863
134,1,3,2790
135,1,3,563
136,1,3,1020
137,1,3,95
138,1,3,1923
139,1,3,1757
140,1,3,2532
141,1,3,2278
142,1,3,2796
143,1,3,1678
144,1,3,540
145,1,3,1059
146,1,3,2572
147,1,3,1183
148,1,3,1722
149,1,3,1819
150,1,3,2625
151,1,4,2729
152,1,4,2604
153,1,4,1597
154,1,4,2693
155,1,4,795
156,1,4,1051
157,1,4,1643
158,1,4,1363
159,1,4,1981
160,1,4,1354
161,1,4,1663
162,1,4,1529
163,1,4,2038
164,1,4,1496
165,1,4,2237
166,1,4,1408
167,1,4,1400
168,1,4,1306
169,1,4,2680
170,1,4,2675
171,1,4,972
172,1,4,1768
173,1,4,1282
174,1,4,709
175,1,4,1479
176,1,4,1434
177,1,4,648
178,1,4,317
179,1,4,1257
180,1,4,683
181,1,4,663
182,1,4,1998
183,1,4,1631
184,1,4,1495
185,1,4,1136
186,1,4,1853
187,1,4,1520
188,1,4,2489
189,1,4,563
190,1,4,1291
191,1,4,1636
192,1,4,698
193,1,4,2160
194,1,4,1
195,1,4,641
196,1,4,2267
197,1,4,1589
198,1,4,854
199,1,4,1759
200,1,4,2432
201,1,4,1661
202,1,4,1153
203,1,4,1076
204,1,4,1707
205,1,4,2777
206,1,4,1695
207,1,4,1733
208,1,4,1439
209,1,4,2294
210,1,4,835
211,1,4,202
212,1,4,122
213,1,4,400
214,1,4,766
215,1,4,293
216,1,4,2327
217,1,4,197
218,1,4,1930
219,1,4,2799
220,1,4,2191
221,1,4,608
222,1,4,1147
223,1,4,186
224,1,4,2511
225,1,4,1794
226,1,4,659
227,1,4,1955
228,1,15,2450
229,1,15,1369
230,1,15,1986
231,1,15,1534
232,1,15,146
233,1,15,1734
234,1,15,1843
235,1,15,488
236,1,15,1959
237,1,15,1663
238,1,15,2598
239,1,15,2385
240,1,15,640
241,1,15,1802
242,1,15,2520
243,1,15,1969
244,1,15,2198
245,1,15,1438
246,1,15,1634
247,1,15,262
248,1,15,1787
249,1,15,2191
250,1,15,2393
251,1,7,623
252,1,7,1016
253,1,7,880
254,1,7,2049
255,1,7,1327
256,1,7,2301
257,1,7,452
258,1,7,1183
259,1,7,2056
260,1,7,1682
261,1,7,2255
262,1,7,1154
263,1,7,403
264,1,7,2199
265,1,7,2101
266,1,7,1696
267,1,7,627
268,1,7,586
269,1,7,1648
270,1,7,1443
271,1,7,1445
272,1,7,103
273,1,7,253
274,1,7,2557
275,1,7,1496
276,1,7,98
277,1,7,2200
278,1,7,1884
279,1,7,1919
280,1,7,877
281,1,7,337
282,1,7,956
283,1,7,1704
284,1,7,160
285,1,7,1603
286,1,7,397
287,1,7,1300
288,1,7,815
289,1,7,1527
290,1,7,1919
291,1,7,1415
292,1,7,1158
293,1,7,1218
294,1,7,400
295,1,7,639
296,1,7,2735
297,1,7,459
298,1,7,954
299,1,7,469
300,1,7,1045
301,1,7,2797
302,1,7,1693
303,1,7,2085
304,1,7,2277
305,1,7,562
306,1,7,2485
307,1,7,1799
308,1,7,2074
309,1,7,225
310,1,7,797
311,1,7,2331
312,1,7,959
313,1,7,1504
314,1,7,452
315,1,7,815
316,1,7,658
317,1,7,546
318,1,7,1215
319,1,7,16
320,1,7,1243
321,1,7,2205
322,1,7,2524
323,1,7,1069
324,1,7,2565
325,1,7,2146
326,1,7,1768
327,1,7,1060
328,1,7,2327
329,1,7,2544
330,1,7,301
331,1,7,180
332,1,7,606
333,1,7,699
334,1,7,992
335,1,7,1139
336,1,7,190
337,1,7,2300
338,1,7,980
339,1,7,2006
340,1,7,1184
341,1,7,127
342,1,7,2065
343,1,7,1816
344,1,7,1758
345,1,7,2613
346,1,7,569
347,1,7,1346
348,1,7,1895
349,1,7,2733
350,1,7,625
351,1,7,1686
352,1,7,154
353,1,7,2537
354,1,7,1409
355,1,7,784
356,1,7,245
357,1,7,1500
358,1,7,1705
359,1,7,537
360,1,7,1890
361,1,7,1841
362,1,7,920
363,1,7,2455
364,1,7,524
365,1,7,1529
366,1,7,35
367,1,7,684
368,1,7,19
369,1,7,2368
370,1,7,2559
371,1,7,399
372,1,7,2701
373,1,7,971
374,1,7,1906
375,1,7,2518
376,1,7,1166
377,1,7,1115
378,1,7,833
379,1,7,1823
380,1,7,2774
381,1,7,1982
382,1,7,853
383,1,7,50
384,1,7,574
385,1,7,1148
386,1,7,2197
387,1,7,2361
388,1,7,2617
389,1,7,2352
390,1,7,1715
391,1,7,681
392,1,7,837
393,1,7,1077
394,1,7,2491
395,1,7,2660
396,1,7,2311
397,1,7,1595
398,1,7,4
399,1,7,1126
400,1,7,1219
401,1,7,773
402,1,7,876
403,1,7,991
404,1,7,46
405,1,7,2703
406,1,7,268
407,1,7,369
408,1,7,635
409,1,7,1129
410,1,7,1693
411,1,7,1682
412,1,7,656
413,1,7,119
414,1,7,830
415,1,7,1810
416,1,7,1081
417,1,7,1974
418,1,7,1369
419,1,7,740
420,1,7,116
421,1,7,1853
422,1,7,1150
423,1,7,1931
424,1,7,1012
425,1,7,1664
426,1,7,1081
427,1,7,633
428,1,7,512
429,1,7,1119
430,1,7,1141
431,1,7,559
432,1,7,487
433,1,7,896
434,1,7,1212
435,1,7,703
436,1,7,1470
437,1,7,580
438,1,7,2294
439,1,7,153
440,1,7,1679
441,1,7,996
442,1,7,2744
443,1,7,1243
444,1,7,1092
445,1,7,1008
446,1,7,2141
447,1,7,1773
448,1,7,957
449,1,7,452
450,1,7,1227
451,1,7,2265
452,1,7,2521
453,1,7,2479
454,1,7,2388
455,1,7,550
456,1,7,1635
457,1,7,1312
458,1,7,1757
459,1,7,356
460,1,7,2070
461,1,7,1785
462,1,7,2569
463,1,7,1781
464,1,7,2489
465,1,7,1631
466,1,7,1015
467,1,7,1348
468,1,7,515
469,1,7,335
470,1,7,1782
471,1,7,2305
472,1,7,496
473,1,7,895
474,1,7,2207
475,1,7,851
476,1,7,1687
477,1,7,1931
478,1,7,2737
479,1,7,2427
480,1,7,1568
481,1,7,956
482,1,7,2738
483,1,7,1636
484,1,7,1291
485,1,7,1440
486,1,7,1191
487,1,7,1066
488,1,7,284
489,1,7,2444
490,1,7,11
491,1,7,1630
492,1,7,2546
493,1,7,753
494,1,7,2082
495,1,7,2774
496,1,7,89
497,1,7,775
498,1,7,2652
499,1,7,1625
500,1,7,417
501,1,7,114
502,1,7,616
503,1,7,825
504,1,7,1649
505,1,7,1516
506,1,7,412
507,1,7,728
508,1,7,675
509,1,7,1892
510,1,7,2504
511,1,7,2239
512,1,7,2786
513,1,7,1122
514,1,7,1571
515,1,7,977
516,1,7,1008
517,1,7,2143
518,1,7,1687
519,1,7,2710
520,1,7,36
521,1,7,1548
522,1,7,2326
523,1,7,2264
524,1,7,872
525,1,7,1821
526,1,7,1296
527,1,7,2109
528,1,7,595
529,1,7,1903
530,1,7,728
531,1,7,1365
532,1,7,396
533,1,7,698
534,1,7,2224
535,1,7,1635
536,1,7,395
537,1,7,2492
538,1,7,75
539,1,7,264
540,1,7,2502
541,1,7,1819
542,1,7,717
543,1,7,2782
544,1,7,850
545,1,7,1390
546,1,7,143
547,1,7,884
548,1,7,395
549,1,7,1492
550,1,7,1167
551,1,7,2616
552,1,7,1062
553,1,7,2156
554,1,7,1065
555,1,7,1209
556,1,7,2445
557,1,7,633
558,1,7,1156
559,1,7,1238
560,1,7,732
561,1,7,234
562,1,7,2705
563,1,7,750
564,1,7,2635
565,1,7,953
566,1,7,2539
567,1,7,1542
568,1,7,1197
569,1,7,1676
570,1,7,1191
571,1,7,2217
572,1,7,1416
573,1,7,2681
574,1,7,1217
575,1,7,1540
576,1,7,2076
577,1,7,1445
578,1,7,2386
579,1,7,1519
580,1,7,1388
581,1,7,1856
582,1,7,1365
583,1,7,499
584,1,7,1680
585,1,7,510
586,1,7,216
587,1,7,1324
588,1,7,1155
589,1,7,1827
590,1,7,1810
591,1,7,2492
592,1,7,1205
593,1,7,2214
594,1,7,90
595,1,7,713
596,1,7,1881
597,1,7,38
598,1,7,172
599,1,7,652
600,1,7,753
601,1,7,1243
602,1,7,1081
603,1,7,1683
604,1,7,2523
605,1,7,455
606,1,7,828
607,1,7,894
608,1,7,1384
609,1,7,1958
610,1,7,2434
611,1,7,1996
612,1,7,2395
613,1,7,189
614,1,7,504
615,1,7,1214
616,1,7,1531
617,1,7,823
618,1,7,928
619,1,7,933
620,1,7,1140
621,1,7,133
622,1,7,2105
623,1,7,684
624,1,7,2719
625,1,7,2220
626,1,7,1852
627,1,7,814
628,1,7,1172
629,1,7,79
630,1,7,202
631,1,7,1252
632,1,7,1699
633,1,7,1250
634,1,7,1682
635,1,7,1555
636,1,7,2094
637,1,7,1256
638,1,7,1549
639,1,7,1166
640,1,7,1396
641,1,7,2703
642,1,7,470
643,1,7,1035
644,1,7,1353
645,1,7,2783
646,1,7,967
647,1,7,357
648,1,7,667
649,1,7,372
650,1,7,1031
651,1,7,1145
652,1,7,1371
653,1,7,2723
654,1,7,89
655,1,7,2745
656,1,7,539
657,1,7,2779
658,1,7,868
659,1,7,40
660,1,7,739
661,1,7,1946
662,1,7,2549
663,1,7,1224
664,1,7,928
665,1,7,2036
666,1,7,2508
667,1,7,2779
668,1,7,2799
669,1,7,924
670,1,7,1581
671,1,7,389
672,1,7,1617
673,1,7,255
674,1,7,708
675,1,7,1838
676,1,7,1944
677,1,7,2497
678,1,7,9
679,1,7,797
680,1,7,876
